z0,z1,hinge0,hinge1
-1.25,-1,0,1
-1.24,-0.99,0,0.995
-1.23,-0.98,0,0.99
-1.22,-0.97,0,0.985
-1.21,-0.96,0,0.98
-1.2,-0.95,0,0.975
-1.19,-0.94,0,0.97
-1.18,-0.93,0,0.965
-1.17,-0.92,0,0.96
-1.16,-0.91,0,0.955
-1.15,-0.9,0,0.95
-1.14,-0.89,0,0.945
-1.13,-0.88,0,0.94
-1.12,-0.87,0,0.935
-1.11,-0.86,0,0.93
-1.1,-0.85,0,0.925
-1.09,-0.84,0,0.92
-1.08,-0.83,0,0.915
-1.07,-0.82,0,0.91
-1.06,-0.81,0,0.905
-1.05,-0.8,0,0.9
-1.04,-0.79,0,0.895
-1.03,-0.78,0,0.89
-1.02,-0.77,0,0.885
-1.01,-0.76,0,0.88
-1,-0.75,0,0.875
-0.99,-0.74,0.005,0.87
-0.98,-0.73,0.01,0.865
-0.97,-0.72,0.015,0.86
-0.96,-0.71,0.02,0.855
-0.95,-0.7,0.025,0.85
-0.94,-0.69,0.03,0.845
-0.93,-0.68,0.035,0.84
-0.92,-0.67,0.04,0.835
-0.91,-0.66,0.045,0.83
-0.9,-0.65,0.05,0.825
-0.89,-0.64,0.055,0.82
-0.88,-0.63,0.06,0.815
-0.87,-0.62,0.065,0.81
-0.86,-0.61,0.07,0.805
-0.85,-0.6,0.075,0.8
-0.84,-0.59,0.08,0.795
-0.83,-0.58,0.085,0.79
-0.82,-0.57,0.09,0.785
-0.81,-0.56,0.095,0.78
-0.8,-0.55,0.1,0.775
-0.79,-0.54,0.105,0.77
-0.78,-0.53,0.11,0.765
-0.77,-0.52,0.115,0.76
-0.76,-0.51,0.12,0.755
-0.75,-0.5,0.125,0.75
-0.74,-0.49,0.13,0.745
-0.73,-0.48,0.135,0.74
-0.72,-0.47,0.14,0.735
-0.71,-0.46,0.145,0.73
-0.7,-0.45,0.15,0.725
-0.69,-0.44,0.155,0.72
-0.68,-0.43,0.16,0.715
-0.67,-0.42,0.165,0.71
-0.66,-0.41,0.17,0.705
-0.65,-0.4,0.175,0.7
-0.64,-0.39,0.18,0.695
-0.63,-0.38,0.185,0.69
-0.62,-0.37,0.19,0.685
-0.61,-0.36,0.195,0.68
-0.6,-0.35,0.2,0.675
-0.59,-0.34,0.205,0.67
-0.58,-0.33,0.21,0.665
-0.57,-0.32,0.215,0.66
-0.56,-0.31,0.22,0.655
-0.55,-0.3,0.225,0.65
-0.54,-0.29,0.23,0.645
-0.53,-0.28,0.235,0.64
-0.52,-0.27,0.24,0.635
-0.51,-0.26,0.245,0.63
-0.5,-0.25,0.25,0.625
-0.49,-0.24,0.255,0.62
-0.48,-0.23,0.26,0.615
-0.47,-0.22,0.265,0.61
-0.46,-0.21,0.27,0.605
-0.45,-0.2,0.275,0.6
-0.44,-0.19,0.28,0.595
-0.43,-0.18,0.285,0.59
-0.42,-0.17,0.29,0.585
-0.41,-0.16,0.295,0.58
-0.4,-0.15,0.3,0.575
-0.39,-0.14,0.305,0.57
-0.38,-0.13,0.31,0.565
-0.37,-0.12,0.315,0.56
-0.36,-0.11,0.32,0.555
-0.35,-0.1,0.325,0.55
-0.34,-0.09,0.33,0.545
-0.33,-0.08,0.335,0.54
-0.32,-0.07,0.34,0.535
-0.31,-0.0599999999999999,0.345,0.53
-0.3,-0.0499999999999999,0.35,0.525
-0.29,-0.04,0.355,0.52
-0.28,-0.03,0.36,0.515
-0.27,-0.02,0.365,0.51
-0.26,-0.01,0.37,0.505
-0.25,0,0.375,0.5
-0.24,0.01,0.38,0.495
-0.23,0.02,0.385,0.49
-0.22,0.03,0.39,0.485
-0.21,0.04,0.395,0.48
-0.2,0.05,0.4,0.475
-0.19,0.0600000000000001,0.405,0.47
-0.18,0.0700000000000001,0.41,0.465
-0.17,0.0800000000000001,0.415,0.46
-0.16,0.0900000000000001,0.42,0.455
-0.15,0.1,0.425,0.45
-0.14,0.11,0.43,0.445
-0.13,0.12,0.435,0.44
-0.12,0.13,0.44,0.435
-0.11,0.14,0.445,0.43
-0.1,0.15,0.45,0.425
-0.0900000000000001,0.16,0.455,0.42
-0.0800000000000001,0.17,0.46,0.415
-0.0700000000000001,0.18,0.465,0.41
-0.0600000000000001,0.19,0.47,0.405
-0.05,0.2,0.475,0.4
-0.04,0.21,0.48,0.395
-0.03,0.22,0.485,0.39
-0.02,0.23,0.49,0.385
-0.01,0.24,0.495,0.38
0,0.25,0.5,0.375
0.01,0.26,0.505,0.37
0.02,0.27,0.51,0.365
0.03,0.28,0.515,0.36
0.04,0.29,0.52,0.355
0.0499999999999999,0.3,0.525,0.35
0.0599999999999999,0.31,0.53,0.345
0.07,0.32,0.535,0.34
0.08,0.33,0.54,0.335
0.09,0.34,0.545,0.33
0.1,0.35,0.55,0.325
0.11,0.36,0.555,0.32
0.12,0.37,0.56,0.315
0.13,0.38,0.565,0.31
0.14,0.39,0.57,0.305
0.15,0.4,0.575,0.3
0.16,0.41,0.58,0.295
0.17,0.42,0.585,0.29
0.18,0.43,0.59,0.285
0.19,0.44,0.595,0.28
0.2,0.45,0.6,0.275
0.21,0.46,0.605,0.27
0.22,0.47,0.61,0.265
0.23,0.48,0.615,0.26
0.24,0.49,0.62,0.255
0.25,0.5,0.625,0.25
0.26,0.51,0.63,0.245
0.27,0.52,0.635,0.24
0.28,0.53,0.64,0.235
0.29,0.54,0.645,0.23
0.3,0.55,0.65,0.225
0.31,0.56,0.655,0.22
0.32,0.57,0.66,0.215
0.33,0.58,0.665,0.21
0.34,0.59,0.67,0.205
0.35,0.6,0.675,0.2
0.36,0.61,0.68,0.195
0.37,0.62,0.685,0.19
0.38,0.63,0.69,0.185
0.39,0.64,0.695,0.18
0.4,0.65,0.7,0.175
0.41,0.66,0.705,0.17
0.42,0.67,0.71,0.165
0.43,0.68,0.715,0.16
0.44,0.69,0.72,0.155
0.45,0.7,0.725,0.15
0.46,0.71,0.73,0.145
0.47,0.72,0.735,0.14
0.48,0.73,0.74,0.135
0.49,0.74,0.745,0.13
0.5,0.75,0.75,0.125
0.51,0.76,0.755,0.12
0.52,0.77,0.76,0.115
0.53,0.78,0.765,0.11
0.54,0.79,0.77,0.105
0.55,0.8,0.775,0.1
0.56,0.81,0.78,0.095
0.57,0.82,0.785,0.09
0.58,0.83,0.79,0.085
0.59,0.84,0.795,0.08
0.6,0.85,0.8,0.075
0.61,0.86,0.805,0.07
0.62,0.87,0.81,0.065
0.63,0.88,0.815,0.06
0.64,0.89,0.82,0.055
0.65,0.9,0.825,0.05
0.66,0.91,0.83,0.045
0.67,0.92,0.835,0.04
0.68,0.93,0.84,0.035
0.69,0.94,0.845,0.03
0.7,0.95,0.85,0.025
0.71,0.96,0.855,0.02
0.72,0.97,0.86,0.015
0.73,0.98,0.865,0.01
0.74,0.99,0.87,0.005
0.75,1,0.875,0
0.76,1.01,0.88,0
0.77,1.02,0.885,0
0.78,1.03,0.89,0
0.79,1.04,0.895,0
0.8,1.05,0.9,0
0.81,1.06,0.905,0
0.82,1.07,0.91,0
0.83,1.08,0.915,0
0.84,1.09,0.92,0
0.85,1.1,0.925,0
0.86,1.11,0.93,0
0.87,1.12,0.935,0
0.88,1.13,0.94,0
0.89,1.14,0.945,0
0.9,1.15,0.95,0
0.91,1.16,0.955,0
0.92,1.17,0.96,0
0.93,1.18,0.965,0
0.94,1.19,0.97,0
0.95,1.2,0.975,0
0.96,1.21,0.98,0
0.97,1.22,0.985,0
0.98,1.23,0.99,0
0.99,1.24,0.995,0
1,1.25,1,0
