z,relu,lrelu
-2,0,-0.1
-1.99,0,-0.0995
-1.98,0,-0.099
-1.97,0,-0.0985
-1.96,0,-0.098
-1.95,0,-0.0975
-1.94,0,-0.097
-1.93,0,-0.0965
-1.92,0,-0.096
-1.91,0,-0.0955
-1.9,0,-0.095
-1.89,0,-0.0945
-1.88,0,-0.094
-1.87,0,-0.0935
-1.86,0,-0.093
-1.85,0,-0.0925
-1.84,0,-0.092
-1.83,0,-0.0915
-1.82,0,-0.091
-1.81,0,-0.0905
-1.8,0,-0.09
-1.79,0,-0.0895
-1.78,0,-0.089
-1.77,0,-0.0885
-1.76,0,-0.088
-1.75,0,-0.0875
-1.74,0,-0.087
-1.73,0,-0.0865
-1.72,0,-0.086
-1.71,0,-0.0855
-1.7,0,-0.085
-1.69,0,-0.0845
-1.68,0,-0.084
-1.67,0,-0.0835
-1.66,0,-0.083
-1.65,0,-0.0825
-1.64,0,-0.082
-1.63,0,-0.0815
-1.62,0,-0.081
-1.61,0,-0.0805
-1.6,0,-0.08
-1.59,0,-0.0795
-1.58,0,-0.079
-1.57,0,-0.0785
-1.56,0,-0.078
-1.55,0,-0.0775
-1.54,0,-0.077
-1.53,0,-0.0765
-1.52,0,-0.076
-1.51,0,-0.0755
-1.5,0,-0.075
-1.49,0,-0.0745
-1.48,0,-0.074
-1.47,0,-0.0735
-1.46,0,-0.073
-1.45,0,-0.0725
-1.44,0,-0.072
-1.43,0,-0.0715
-1.42,0,-0.071
-1.41,0,-0.0705
-1.4,0,-0.07
-1.39,0,-0.0695
-1.38,0,-0.069
-1.37,0,-0.0685
-1.36,0,-0.068
-1.35,0,-0.0675
-1.34,0,-0.067
-1.33,0,-0.0665
-1.32,0,-0.066
-1.31,0,-0.0655
-1.3,0,-0.065
-1.29,0,-0.0645
-1.28,0,-0.064
-1.27,0,-0.0635
-1.26,0,-0.063
-1.25,0,-0.0625
-1.24,0,-0.062
-1.23,0,-0.0615
-1.22,0,-0.061
-1.21,0,-0.0605
-1.2,0,-0.06
-1.19,0,-0.0595
-1.18,0,-0.059
-1.17,0,-0.0585
-1.16,0,-0.058
-1.15,0,-0.0575
-1.14,0,-0.057
-1.13,0,-0.0565
-1.12,0,-0.056
-1.11,0,-0.0555
-1.1,0,-0.055
-1.09,0,-0.0545
-1.08,0,-0.054
-1.07,0,-0.0535
-1.06,0,-0.053
-1.05,0,-0.0525
-1.04,0,-0.052
-1.03,0,-0.0515
-1.02,0,-0.051
-1.01,0,-0.0505
-1,0,-0.05
-0.99,0,-0.0495
-0.98,0,-0.049
-0.97,0,-0.0485
-0.96,0,-0.048
-0.95,0,-0.0475
-0.94,0,-0.047
-0.93,0,-0.0465
-0.92,0,-0.046
-0.91,0,-0.0455
-0.9,0,-0.045
-0.89,0,-0.0445
-0.88,0,-0.044
-0.87,0,-0.0435
-0.86,0,-0.043
-0.85,0,-0.0425
-0.84,0,-0.042
-0.83,0,-0.0415
-0.82,0,-0.041
-0.81,0,-0.0405
-0.8,0,-0.04
-0.79,0,-0.0395
-0.78,0,-0.039
-0.77,0,-0.0385
-0.76,0,-0.038
-0.75,0,-0.0375
-0.74,0,-0.037
-0.73,0,-0.0365
-0.72,0,-0.036
-0.71,0,-0.0355
-0.7,0,-0.035
-0.69,0,-0.0345
-0.68,0,-0.034
-0.67,0,-0.0335
-0.66,0,-0.033
-0.65,0,-0.0325
-0.64,0,-0.032
-0.63,0,-0.0315
-0.62,0,-0.031
-0.61,0,-0.0305
-0.6,0,-0.03
-0.59,0,-0.0295
-0.58,0,-0.029
-0.57,0,-0.0285
-0.56,0,-0.028
-0.55,0,-0.0275
-0.54,0,-0.027
-0.53,0,-0.0265
-0.52,0,-0.026
-0.51,0,-0.0255
-0.5,0,-0.025
-0.49,0,-0.0245
-0.48,0,-0.024
-0.47,0,-0.0235
-0.46,0,-0.023
-0.45,0,-0.0225
-0.44,0,-0.022
-0.43,0,-0.0215
-0.42,0,-0.021
-0.41,0,-0.0205
-0.4,0,-0.02
-0.39,0,-0.0195
-0.38,0,-0.019
-0.37,0,-0.0185
-0.36,0,-0.018
-0.35,0,-0.0175
-0.34,0,-0.017
-0.33,0,-0.0165
-0.32,0,-0.016
-0.31,0,-0.0155
-0.3,0,-0.015
-0.29,0,-0.0145
-0.28,0,-0.014
-0.27,0,-0.0135
-0.26,0,-0.013
-0.25,0,-0.0125
-0.24,0,-0.012
-0.23,0,-0.0115
-0.22,0,-0.011
-0.21,0,-0.0105
-0.2,0,-0.01
-0.19,0,-0.0095
-0.18,0,-0.009
-0.17,0,-0.0085
-0.16,0,-0.008
-0.15,0,-0.0075
-0.14,0,-0.007
-0.13,0,-0.0065
-0.12,0,-0.00599999999999999
-0.11,0,-0.00549999999999999
-0.0999999999999999,0,-0.00499999999999999
-0.0899999999999999,0,-0.00449999999999999
-0.0800000000000001,0,-0.004
-0.0700000000000001,0,-0.0035
-0.0600000000000001,0,-0.003
-0.05,0,-0.0025
-0.04,0,-0.002
-0.03,0,-0.0015
-0.02,0,-0.001
-0.01,0,-0.0005
0,0,0
0.01,0.01,0.01
0.02,0.02,0.02
0.03,0.03,0.03
0.04,0.04,0.04
0.05,0.05,0.05
0.0600000000000001,0.0600000000000001,0.0600000000000001
0.0700000000000001,0.0700000000000001,0.0700000000000001
0.0800000000000001,0.0800000000000001,0.0800000000000001
0.0899999999999999,0.0899999999999999,0.0899999999999999
0.0999999999999999,0.0999999999999999,0.0999999999999999
0.11,0.11,0.11
0.12,0.12,0.12
0.13,0.13,0.13
0.14,0.14,0.14
0.15,0.15,0.15
0.16,0.16,0.16
0.17,0.17,0.17
0.18,0.18,0.18
0.19,0.19,0.19
0.2,0.2,0.2
0.21,0.21,0.21
0.22,0.22,0.22
0.23,0.23,0.23
0.24,0.24,0.24
0.25,0.25,0.25
0.26,0.26,0.26
0.27,0.27,0.27
0.28,0.28,0.28
0.29,0.29,0.29
0.3,0.3,0.3
0.31,0.31,0.31
0.32,0.32,0.32
0.33,0.33,0.33
0.34,0.34,0.34
0.35,0.35,0.35
0.36,0.36,0.36
0.37,0.37,0.37
0.38,0.38,0.38
0.39,0.39,0.39
0.4,0.4,0.4
0.41,0.41,0.41
0.42,0.42,0.42
0.43,0.43,0.43
0.44,0.44,0.44
0.45,0.45,0.45
0.46,0.46,0.46
0.47,0.47,0.47
0.48,0.48,0.48
0.49,0.49,0.49
0.5,0.5,0.5
0.51,0.51,0.51
0.52,0.52,0.52
0.53,0.53,0.53
0.54,0.54,0.54
0.55,0.55,0.55
0.56,0.56,0.56
0.57,0.57,0.57
0.58,0.58,0.58
0.59,0.59,0.59
0.6,0.6,0.6
0.61,0.61,0.61
0.62,0.62,0.62
0.63,0.63,0.63
0.64,0.64,0.64
0.65,0.65,0.65
0.66,0.66,0.66
0.67,0.67,0.67
0.68,0.68,0.68
0.69,0.69,0.69
0.7,0.7,0.7
0.71,0.71,0.71
0.72,0.72,0.72
0.73,0.73,0.73
0.74,0.74,0.74
0.75,0.75,0.75
0.76,0.76,0.76
0.77,0.77,0.77
0.78,0.78,0.78
0.79,0.79,0.79
0.8,0.8,0.8
0.81,0.81,0.81
0.82,0.82,0.82
0.83,0.83,0.83
0.84,0.84,0.84
0.85,0.85,0.85
0.86,0.86,0.86
0.87,0.87,0.87
0.88,0.88,0.88
0.89,0.89,0.89
0.9,0.9,0.9
0.91,0.91,0.91
0.92,0.92,0.92
0.93,0.93,0.93
0.94,0.94,0.94
0.95,0.95,0.95
0.96,0.96,0.96
0.97,0.97,0.97
0.98,0.98,0.98
0.99,0.99,0.99
1,1,1
1.01,1.01,1.01
1.02,1.02,1.02
1.03,1.03,1.03
1.04,1.04,1.04
1.05,1.05,1.05
1.06,1.06,1.06
1.07,1.07,1.07
1.08,1.08,1.08
1.09,1.09,1.09
1.1,1.1,1.1
1.11,1.11,1.11
1.12,1.12,1.12
1.13,1.13,1.13
1.14,1.14,1.14
1.15,1.15,1.15
1.16,1.16,1.16
1.17,1.17,1.17
1.18,1.18,1.18
1.19,1.19,1.19
1.2,1.2,1.2
1.21,1.21,1.21
1.22,1.22,1.22
1.23,1.23,1.23
