z,mse,mae
-1,2,2
-0.99,1.9602,1.98
-0.98,1.9208,1.96
-0.97,1.8818,1.94
-0.96,1.8432,1.92
-0.95,1.805,1.9
-0.94,1.7672,1.88
-0.93,1.7298,1.86
-0.92,1.6928,1.84
-0.91,1.6562,1.82
-0.9,1.62,1.8
-0.89,1.5842,1.78
-0.88,1.5488,1.76
-0.87,1.5138,1.74
-0.86,1.4792,1.72
-0.85,1.445,1.7
-0.84,1.4112,1.68
-0.83,1.3778,1.66
-0.82,1.3448,1.64
-0.81,1.3122,1.62
-0.8,1.28,1.6
-0.79,1.2482,1.58
-0.78,1.2168,1.56
-0.77,1.1858,1.54
-0.76,1.1552,1.52
-0.75,1.125,1.5
-0.74,1.0952,1.48
-0.73,1.0658,1.46
-0.72,1.0368,1.44
-0.71,1.0082,1.42
-0.7,0.98,1.4
-0.69,0.9522,1.38
-0.68,0.9248,1.36
-0.67,0.8978,1.34
-0.66,0.8712,1.32
-0.65,0.845,1.3
-0.64,0.8192,1.28
-0.63,0.7938,1.26
-0.62,0.7688,1.24
-0.61,0.7442,1.22
-0.6,0.72,1.2
-0.59,0.6962,1.18
-0.58,0.6728,1.16
-0.57,0.6498,1.14
-0.56,0.6272,1.12
-0.55,0.605,1.1
-0.54,0.5832,1.08
-0.53,0.5618,1.06
-0.52,0.5408,1.04
-0.51,0.5202,1.02
-0.5,0.5,1
-0.49,0.4802,0.98
-0.48,0.4608,0.96
-0.47,0.4418,0.94
-0.46,0.4232,0.92
-0.45,0.405,0.9
-0.44,0.3872,0.88
-0.43,0.3698,0.86
-0.42,0.3528,0.84
-0.41,0.3362,0.82
-0.4,0.32,0.8
-0.39,0.3042,0.78
-0.38,0.2888,0.76
-0.37,0.2738,0.74
-0.36,0.2592,0.72
-0.35,0.245,0.7
-0.34,0.2312,0.68
-0.33,0.2178,0.66
-0.32,0.2048,0.64
-0.31,0.1922,0.62
-0.3,0.18,0.6
-0.29,0.1682,0.58
-0.28,0.1568,0.56
-0.27,0.1458,0.54
-0.26,0.1352,0.52
-0.25,0.125,0.5
-0.24,0.1152,0.48
-0.23,0.1058,0.46
-0.22,0.0968,0.44
-0.21,0.0882,0.42
-0.2,0.08,0.4
-0.19,0.0722,0.38
-0.18,0.0648,0.36
-0.17,0.0577999999999999,0.34
-0.16,0.0512,0.32
-0.15,0.045,0.3
-0.14,0.0392,0.28
-0.13,0.0338,0.26
-0.12,0.0288,0.24
-0.11,0.0242,0.22
-0.1,0.02,0.2
-0.09,0.0162,0.18
-0.08,0.0128,0.16
-0.07,0.00979999999999999,0.14
-0.0599999999999999,0.00719999999999999,0.12
-0.0499999999999999,0.00499999999999999,0.0999999999999999
-0.04,0.00320000000000001,0.0800000000000001
-0.03,0.0018,0.0600000000000001
-0.02,0.000800000000000001,0.04
-0.01,0.0002,0.02
0,0,0
0.01,0.0002,0.02
0.02,0.000800000000000001,0.04
0.03,0.0018,0.0600000000000001
0.04,0.00320000000000001,0.0800000000000001
0.0499999999999999,0.00499999999999999,0.0999999999999999
0.0599999999999999,0.00719999999999999,0.12
0.07,0.00979999999999999,0.14
0.08,0.0128,0.16
0.09,0.0162,0.18
0.1,0.02,0.2
0.11,0.0242,0.22
0.12,0.0288,0.24
0.13,0.0338,0.26
0.14,0.0392,0.28
0.15,0.045,0.3
0.16,0.0512,0.32
0.17,0.0577999999999999,0.34
0.18,0.0648,0.36
0.19,0.0722,0.38
0.2,0.08,0.4
0.21,0.0882,0.42
0.22,0.0968,0.44
0.23,0.1058,0.46
0.24,0.1152,0.48
0.25,0.125,0.5
0.26,0.1352,0.52
0.27,0.1458,0.54
0.28,0.1568,0.56
0.29,0.1682,0.58
0.3,0.18,0.6
0.31,0.1922,0.62
0.32,0.2048,0.64
0.33,0.2178,0.66
0.34,0.2312,0.68
0.35,0.245,0.7
0.36,0.2592,0.72
0.37,0.2738,0.74
0.38,0.2888,0.76
0.39,0.3042,0.78
0.4,0.32,0.8
0.41,0.3362,0.82
0.42,0.3528,0.84
0.43,0.3698,0.86
0.44,0.3872,0.88
0.45,0.405,0.9
0.46,0.4232,0.92
0.47,0.4418,0.94
0.48,0.4608,0.96
0.49,0.4802,0.98
0.5,0.5,1
0.51,0.5202,1.02
0.52,0.5408,1.04
0.53,0.5618,1.06
0.54,0.5832,1.08
0.55,0.605,1.1
0.56,0.6272,1.12
0.57,0.6498,1.14
0.58,0.6728,1.16
0.59,0.6962,1.18
0.6,0.72,1.2
0.61,0.7442,1.22
0.62,0.7688,1.24
0.63,0.7938,1.26
0.64,0.8192,1.28
0.65,0.845,1.3
0.66,0.8712,1.32
0.67,0.8978,1.34
0.68,0.9248,1.36
0.69,0.9522,1.38
0.7,0.98,1.4
0.71,1.0082,1.42
0.72,1.0368,1.44
0.73,1.0658,1.46
0.74,1.0952,1.48
0.75,1.125,1.5
0.76,1.1552,1.52
0.77,1.1858,1.54
0.78,1.2168,1.56
0.79,1.2482,1.58
0.8,1.28,1.6
0.81,1.3122,1.62
0.82,1.3448,1.64
0.83,1.3778,1.66
0.84,1.4112,1.68
0.85,1.445,1.7
0.86,1.4792,1.72
0.87,1.5138,1.74
0.88,1.5488,1.76
0.89,1.5842,1.78
0.9,1.62,1.8
0.91,1.6562,1.82
0.92,1.6928,1.84
0.93,1.7298,1.86
0.94,1.7672,1.88
0.95,1.805,1.9
0.96,1.8432,1.92
0.97,1.8818,1.94
0.98,1.9208,1.96
0.99,1.9602,1.98
1,2,2
